198009,95.662,198009,19.453,198009,0.915,198009,0.035
198010,90.03,198010,16.401,198010,0.606,198010,0.025
198011,91.239,198011,13.912,198011,0.975,198011,0.021
198012,102.138,198012,13.179,198012,0.984,198012,0.027
198013,1136.594,198013,200.454,198013,12.337,198013,0.551
198101,108.164,198101,12.598,198101,1.293,198101,0.032
198102,94.766,198102,12.182,198102,0.954,198102,0.026
198103,95.724,198103,14.87,198103,0.598,198103,0.028
198104,86.386,198104,15.71,198104,0.577,198104,0.022
198105,89.002,198105,17.196,198105,0.763,198105,0.044
198106,99.05,198106,20.699,198106,1.151,198106,0.041
198107,111.044,198107,22.324,198107,1.113,198107,0.034
198108,107.758,198108,21.177,198108,0.606,198108,0.041
198109,95.891,198109,17.651,198109,0.487,198109,0.04
198110,94.541,198110,16.399,198110,0.478,198110,0.046
198111,92.986,198111,14.069,198111,0.485,198111,0.036
198112,105.056,198112,13.019,198112,0.561,198112,0.037
198113,1180.367,198113,197.925,198113,9.066,198113,0.427
198201,113.136,198201,12.952,198201,1.331,198201,0.031
198202,97.313,198202,11.988,198202,0.604,198202,0.029
198203,95.335,198203,13.431,198203,0.555,198203,0.013
198204,86.587,198204,13.42,198204,0.482,198204,0.033
198205,90.83,198205,14.046,198205,0.422,198205,0.037
198206,94.419,198206,16.098,198206,0.448,198206,0.041
198207,109.995,198207,19.221,198207,0.579,198207,0.034
198208,109.179,198208,19.688,198208,0.448,198208,0.039
198209,96.39,198209,15.975,198209,0.392,198209,0.029
198210,92.24,198210,14.866,198210,0.369,198210,0.051
198211,95.165,198211,12.335,198211,0.429,198211,0.056
198212,101.367,198212,11.694,198212,0.466,198212,0.067
198213,1181.956,198213,175.721,198213,6.525,198213,0.459
198301,105.965,198301,11.3,198301,0.473,198301,0.051
198302,90.912,198302,9.604,198302,0.419,198302,0.057
198303,93.568,198303,11.284,198303,0.403,198303,0.051
198304,86.575,198304,11.012,198304,0.449,198304,0.074
198305,90.75,198305,11.833,198305,0.399,198305,0.091
198306,99.98,198306,13.424,198306,0.435,198306,0.07
198307,119.945,198307,17.026,198307,0.61,198307,0.077
198308,126.652,198308,19.05,198308,0.657,198308,0.073
198309,107.675,198309,16.144,198309,0.642,198309,0.076
198310,100.677,198310,13.591,198310,0.371,198310,0.067
198311,101.663,198311,11.578,198311,0.458,198311,0.052
198312,117.417,198312,11.801,198312,1.719,198312,0.064
198313,1241.778,198313,157.703,198313,7.036,198313,0.804
198401,119.436,198401,11.738,198401,0.927,198401,0.073
198402,103.635,198402,10.227,198402,0.434,198402,0.064
198403,108.149,198403,11.255,198403,0.433,198403,0.056
198404,94.329,198404,12.015,198404,0.354,198404,0.068
198405,98.181,198405,14.442,198405,0.43,198405,0.071
198406,112.983,198406,16.231,198406,0.821,198406,0.071
198407,119.701,198407,19.025,198407,0.536,198407,0.068
198408,125.724,198408,19.063,198408,0.649,198408,0.061
198409,107.179,198409,15.825,198409,0.424,198409,0.066
198410,108.583,198410,14.694,198410,0.411,198410,0.06
198411,107.546,198411,13.317,198411,0.565,198411,0.054
198412,112.167,198412,11.83,198412,0.488,198412,0.062
198413,1317.614,198413,169.706,198413,6.473,198413,0.774
198501,125.429,198501,12.381,198501,1.057,198501,0.055
198502,109.359,198502,11.106,198502,0.568,198502,0.051
